Country,ISO,Series Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Albania,ALB,"School enrollment, primary (% net)",95.38335,93.86551,41.41501294,91.69871,90.92345,36.3215847,33.99303419,33.984731275,86.78701,85.34118,85.95611,86.99052,89.53195,91.90565,93.78369,94.17835,94.05692,95.53947,94.52966,21.195026695000003,51.293871175,23.4050916,37.5,46.3343277
Albania,ALB,"School enrollment, secondary (% gross)",39.53390433,68.41048,74.53891754,77.75182343,78.98018646,82.97142792,84.32576752,86.21885681,87.83383942,89.3157196,93.68182373,95.47052765,97.60861206,102.9032095,103.3213775,102.4407293,99.17075505,97.57436975,98.82238786,99.01515357,95.92944745,97.66503303,97.32247147,96.13687712
Albania,ALB,"School enrollment, secondary (% net)",66.69051,68.41048,41.41501294,38.81410408,34.567895855,36.3215847,33.99303419,33.984731275,38.62202019,63.42638,37.305632779999996,38.74921372,42.32925145,84.39599,86.39145,87.38842,86.48091,86.6726,86.60827,21.195026695000003,51.293871175,23.4050916,37.5,46.3343277
Albania,ALB,Control of Corruption: Estimate,39.53390433,68.41048,41.41501294,38.81410408,34.567895855,36.3215847,33.99303419,33.984731275,38.62202019,63.42638,37.305632779999996,38.74921372,42.32925145,38.77092972,35.04718618,35.23809433,34.90102361,31.484761315,26.19047546,21.195026695000003,51.293871175,23.4050916,37.5,46.3343277
Albania,ALB,Political Stability and Absence of Violence/Terrorism: Estimate,39.53390433,68.41048,41.41501294,38.81410408,34.567895855,36.3215847,33.99303419,33.984731275,38.62202019,63.42638,37.305632779999996,38.74921372,42.32925145,0.091929786,0.485986233,0.341639042,0.337447882,0.373770744,0.366779268,0.110105053,0.088612519,0.196371928,0.106261313,0.183348969
Albania,ALB,"Adjusted net savings, excluding particulate emission damage (% of GNI)",15.90395022,19.09915666,15.67420654,16.68993042,19.77272368,20.74717531,19.81339573,12.78413579,7.063893489,6.604885,8.794247968,7.134982385,5.370494372,3.222713821,0.919727346,0.348006274,1.747178408,0.439640513,0.405664767,21.195026695000003,51.293871175,3.296528776,37.5,46.3343277
Albania,ALB,"Adjusted net savings, including particulate emission damage (% of GNI)",15.49134211,18.7392584,15.3202613,16.34361219,19.44426552,20.43633274,19.53448736,12.5300275,6.81500816,6.353868553,8.556948449,6.866859797,5.091680051,2.973808725,0.670591416,0.102477127,1.499257906,0.191409275,0.158578864,21.195026695000003,51.293871175,3.072095326,37.5,46.3343277
Albania,ALB,"Secondary education, pupils",365664.0,377936.0,382205.0,396095.0,393503.0,407403.0,408980.0,410444.0,406553.0,354587.0,355871.0,355158.0,349269.0,346365.0,333291.0,315079.0,294315.0,280378.0,268872.0,256072.0,242242.0,235947.0,227465.0,216158.0
Algeria,DZA,Expense (% of GDP),39.53390433,68.41048,41.41501294,38.81410408,34.567895855,36.3215847,33.99303419,33.984731275,38.62202019,63.42638,37.305632779999996,38.74921372,42.32925145,38.77092972,35.04718618,35.23809433,34.90102361,31.484761315,26.19047546,21.195026695000003,51.293871175,23.4050916,37.5,46.3343277
Algeria,DZA,GDP (current US$),54790398570.0,59413400924.0,61516103406.0,73482264191.0,91913680985.0,107047000000.0,123084000000.0,142483000000.0,180384000000.0,150317000000.0,177785000000.0,218332000000.0,227144000000.0,229701000000.0,238943000000.0,187494000000.0,180764000000.0,189881000000.0,194554000000.0,193460000000.0,164873000000.0,186231000000.0,225638000000.0,247626000000.0
Algeria,DZA,GDP growth (annual %),3.800000002,2.999999999,5.4,6.500000001,4.5,5.4,2.899999999,3.100000001,2.499999999,1.2,4.800000001,2.999999999,2.4,2.600000001,4.099999999,3.200000001,3.9,1.499999999,1.400000001,0.899999999,51.293871175,3.799999999,3.600000001,4.1
Algeria,DZA,GDP per capita (current US$),1772.928691,1896.300209,1937.464114,2283.772993,2816.99385,3233.133396,3660.661047,4167.451699,5180.918815,4235.429905,4912.785855,5916.313644,6033.648847,5979.60139,6094.693923,4685.059027,4424.98529,4554.66754,4577.210292,4468.453419,3743.541952,4160.559267,4961.552577,5364.02795
Algeria,DZA,GDP per capita growth (annual %),2.35726435,1.595178144,4.007050315,5.093332127,3.050861482,3.868902142,1.326188949,1.393468337,0.652527944,63.42638,2.779219082,1.003992371,0.379563284,0.54874363,2.00005201,1.099620619,1.785940647,31.484761315,26.19047546,21.195026695000003,51.293871175,2.132636327,1.968251881,2.551203019
Algeria,DZA,GNI per capita growth (annual %),26.939263,68.41048,1.542324142,9.325926631,7.171265168,11.99071575,7.803158737,2.147062811,4.021717241,63.42638,11.76632395,3.132325589,2.541755407,38.77092972,35.04718618,35.23809433,0.111417528,0.916725516,1.349651375,21.195026695000003,51.293871175,9.31155127,14.38526076,46.3343277
Algeria,DZA,Gross national expenditure (% of GDP),78.71890092,86.28718633,90.31527709,86.43100825,84.57207865,78.09789442,74.38702343,78.10516206,79.73412864,99.11274218,93.51475676,90.24391714,91.99205533,97.5522783,101.6845692,112.1483392,112.7875568,109.1534571,105.5899562,105.6909587,109.3193543,99.94832468,89.58441865,96.44384145
Algeria,DZA,"Government expenditure on education, total (% of GDP)",39.53390433,68.41048,41.41501294,38.81410408,34.567895855,36.3215847,33.99303419,33.984731275,4.111420155,63.42638,8.691770901,9.124534486,7.029508898,6.659060355,6.548898415,6.176330146,6.502108435,5.734823509,5.812751272,5.575365634,6.193917245,5.514032818,4.74924673,5.610157177
Algeria,DZA,Government Effectiveness: Percentile Rank,15.8469944,68.41048,31.89189148,29.72973061,36.31840897,40.19607925,40.0,35.92232895,33.49514389,37.79904175,41.14832687,37.91469193,40.75829315,40.28435898,41.34615326,36.66666794,35.23809433,31.4285717,35.23809433,32.8571434,31.90476227,28.5714283,32.54716873,27.35848999
